ID,Response,Video,Model_Response
8469831.0,0.55,beg,0.02004079706966877
8469831.0,1.0,ball,0.009306729771196842
8469831.0,0.27,couple,0.005515260621905327
8469831.0,0.3,sleep,0.06806595623493195
8469831.0,0.55,meet,
8469831.0,0.31,good,0.02689988724887371
8469831.0,0.86,point,0.02846946008503437
8469831.0,0.98,hospital,0.18712423741817474
8469831.0,0.26,convinced,0.013052387163043022
8469831.0,0.98,gentlemen,0.019134311005473137
8469831.0,0.74,machine,0.012270164676010609
8469831.0,0.99,bomb,0.008046411909162998
8469831.0,0.91,risk,0.00466506090015173
8469831.0,0.78,smoke,
8469831.0,0.29,sunglasses,
8469831.0,0.05,ready,
8469831.0,0.59,please,0.02075302042067051
8469831.0,0.32,planning,
8469831.0,0.71,plan,
8469831.0,0.67,see,0.02403612807393074
8469831.0,0.81,clap,0.002330345567315817
8469833.0,0.42,beg,0.02004079706966877
8469833.0,0.99,ball,0.009306729771196842
8469833.0,0.35000000000000003,sunglasses,
8469833.0,0.61,convinced,0.013052387163043022
8469833.0,0.03,good,0.02689988724887371
8469833.0,0.46,smoke,
8469833.0,0.9400000000000001,machine,0.012270164676010609
8469833.0,0.0,please,0.02075302042067051
8469833.0,0.99,risk,0.00466506090015173
8469833.0,0.01,ready,
8469833.0,0.99,bomb,0.008046411909162998
8469833.0,0.13,point,0.02846946008503437
8469833.0,0.5700000000000001,plan,
8469833.0,0.23,gentlemen,0.019134311005473137
8469833.0,0.08,sleep,0.06806595623493195
8469833.0,0.8200000000000001,clap,0.002330345567315817
8469833.0,0.88,hospital,0.18712423741817474
8469833.0,0.0,meet,
8469833.0,0.01,couple,0.005515260621905327
8469833.0,0.12,planning,
8469833.0,0.01,see,0.02403612807393074
8469844.0,0.12,please,0.02075302042067051
8469844.0,0.65,planning,
8469844.0,0.72,couple,0.005515260621905327
8469844.0,0.98,ball,0.009306729771196842
8469844.0,0.98,smoke,
8469844.0,0.7000000000000001,plan,
8469844.0,0.97,bomb,0.008046411909162998
8469844.0,0.33,convinced,0.013052387163043022
8469844.0,0.02,ready,
8469844.0,0.45,meet,
8469844.0,0.85,point,0.02846946008503437
8469844.0,0.16,beg,0.02004079706966877
8469844.0,0.9500000000000001,hospital,0.18712423741817474
8469844.0,0.93,gentlemen,0.019134311005473137
8469844.0,0.92,machine,0.012270164676010609
8469844.0,0.8200000000000001,see,0.02403612807393074
8469844.0,0.8,sunglasses,
8469844.0,0.98,clap,0.002330345567315817
8469844.0,0.31,sleep,0.06806595623493195
8469844.0,0.08,good,0.02689988724887371
8469844.0,0.63,risk,0.00466506090015173
8469868.0,0.96,smoke,
8469868.0,0.71,beg,0.02004079706966877
8469868.0,0.89,sunglasses,
8469868.0,0.14,planning,
8469868.0,0.61,risk,0.00466506090015173
8469868.0,0.81,meet,
8469868.0,0.62,convinced,0.013052387163043022
8469868.0,0.0,couple,0.005515260621905327
8469868.0,0.73,gentlemen,0.019134311005473137
8469868.0,0.99,clap,0.002330345567315817
8469868.0,0.86,bomb,0.008046411909162998
8469868.0,0.91,ball,0.009306729771196842
8469868.0,0.56,sleep,0.06806595623493195
8469868.0,0.74,plan,
8469868.0,0.2,please,0.02075302042067051
8469868.0,0.66,see,0.02403612807393074
8469868.0,0.97,hospital,0.18712423741817474
8469868.0,0.24,good,0.02689988724887371
8469868.0,0.91,machine,0.012270164676010609
8469868.0,0.29,point,0.02846946008503437
8469868.0,0.01,ready,
8469834.0,0.97,smoke,
8469834.0,0.21,clap,0.002330345567315817
8469834.0,0.2,machine,0.012270164676010609
